text,label
cant even get schindlers list much less see actual death chambers feel ghosts tortured around,anger
im feeling jaded bitter even bother google search time aka tltg lazy google,sadness
liked ros intimidated anna wealth anna feel guilt superior wealth enjoys,joy
feel like much chris mostly took many pictures unimportant stuff,sadness
lured using emoexaderistic things life make feel like could tragic hero save young girl sorta romance plot,sadness
im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise
hear whir motor feel stir cool air,joy
feel lonely unbearably crushingly lonely one href http creativeliar,sadness
good camwhore skill thanks instagram pudding anotehr super popular social apps post vain picture without feeling vain others ftw,sadness
feel wronged,anger
wont feel damn idiotic,sadness
still feel like somehow one family members horribly wronged tragic events transpired today,anger
say little piece feels agitated watch discussions race style color font family georgia serif font size px line height,fear
cant help feel little humiliated,sadness
ive bike bike feels kind strange,fear
understand feeling wouldnt shocked,surprise
like comfortable usually silence helps although times absolutely need music couple hours feel rushed,anger
feel doubly honoured river href http river driftingthroughlife,joy
expressed concerns jens mobility really declined point sometimes uses crutches good day doctor suggested occupational therapy said would contact local occupational therapist went merry way feeling rather disheartened,sadness
arrived home hot sweaty feeling keen need chinese food put aside morning,joy
feel little weepy fact baby longer baby,sadness
feel strategy worthwhile,joy
im continually feeling triggered im sure people insensitive im selfish likely latter,joy
lost girlfriend,sadness
feel like losing confidence feel calm,joy
wear one rare occasions pregnant feel cute,joy
still feel quite loyal views conservative side,love
feel fucked,anger
feel empty baby isnt,sadness
feel defeated knowing cant like things felt cant attain great success like,sadness
feel petty things extent humans seem feel wars started stupid little things try might cannot understand things loving two people feeling jealous lead murder unhappiness,anger
landed dubai started feel ok coming,joy
feel depressed feel like would negative influential big brother,sadness
feel like really sure everything leading look like boob misrepresent things,joy
im feeling wimpy whiny generally tired,fear
feel fearful vulnerable within relationship see others trustworthy turn trust,fear
feeling clever creative,joy
go feeling foolish many times,sadness
feel overwhelmed want forget,surprise
feel damaged cannot speak,sadness
feel little lighter spirit knew neither warrick despised incredible naivety stupidity,anger
feel bit overwhelmed areas may come whiney,surprise
began feel unimportant misunderstood odd one,sadness
feel strongly telling loved ones,love
know also upset increasingly get feeling pleasant accessory,joy
im feeling seriously pissed something fantabulous utterly stupid,anger
went personally started talking way feel broke,sadness
feel unwelcome country,sadness
still feel bit stunned suppose racked regret shame,surprise
nervous remember heart beating loudly feeling insecure others watched stage,fear
definitely recommend anyone feeling depressed anxious,sadness
really feel stupid,sadness
emphasize feeling lost found,sadness
feeling productive relationship,joy
im feeling melancholy today bit sadness also feel sadness ok,sadness
admit feeling pretty horny nicole,love
ive much energy slugging around feeling lethargic massive takeaways choccy binges skin started clear instantly,sadness
cant help feel someones going end pissed,anger
growled began feel extremely annoyed,anger
feel like heartless kingdom hearts really stock character born without feelings watches enviously normal people laugh cry love feel things,anger
feel convinced,joy
feel like lot teenagers including feel like around parents colby amplified knows important dad job feels like protest much time spends,joy
mention feel ignored sad crappy birthdays reminds threw th birthday party,sadness
bought virtually fat free thousand islands feeling impressed hold large quantities substance leaves lettuce cucumber friend total sugar becomes burn fat,surprise
also feel much triumphant homework reading,joy
hate feeling pathetic,sadness
sat silent open mouthed rattled reasons loved special times shared confirmed feelings amazed reasons times together made realize much loved,surprise
give tips overcoming feelings overwhelmed,fear
believe decided catch bus burgos feels like smart compromise feet bodies,joy
love porn industry feel satisfied fulfilled working say really bring big bucks,joy
didnt feel glamorous,joy
feeling bit strange never felt ever really stop writing blogs,fear
seen side couple years hes medications may depression genetic thats feel shitty time,sadness
im feeling fight struggle feelings im sure right,joy
cant stop feeling delighted,joy
feel rude ask,anger
ended feeling really proud final product,joy
outsider never felt part new made feel disheartened,sadness
find question puts right edge bringing love dharma world edge feel vital necessary,joy
look back pop music childhood still feels fake,sadness
hooked girl kitwe beautiful standards,joy
feel insulted go anyway,anger
know feels like one seems supporting vision admiring outside invest time personal money feeding family still seeing anything,love
feel humiliated annoying little college student takes causes pesters everyone,sadness
feeling bit discouraged words really hit home,sadness
feel decently intelligent,joy
lately feeling productive time home happy life general happy children husband,joy
feel like perfect w see youtube influences even know trends,joy
feel like ive pretty productive lazy weekend things considered,joy
ive continued feel energetic time trying keep times working per week jillian workout week sore,joy
feel pain comes representing ungrateful clients,sadness
feeling wonder dangerous place could settled mentality enmayi bring possibility,anger
know crappy day feel productive feel lousy sleepy evening,joy
distinct sickening feeling paused glancing kakashi rest eager audience going regret,joy
wont let child cry feel loving lily little going opportunities lasted short months,love
horrible tragedy something terribly ashamed something causing great pain making feel vulnerable one two trusted people know could call help,fear
feel anyway never afraid sea healthy respect ocean sense harmony balance,fear
continue feel disgusted every time accidentally catch glimpse mirror see results impromptu picture,anger
feel emotional tried put strong front matter instinct always right okay,sadness
refused allow feel dirty vulnerability allowed manipulated quite bit,sadness
agree original comment water feel like song transcends time gorgeously romantic cinematic feel like watching story belongs someone else,love
feel blessed privileged known loved know always child,love
put christmas tree im feeling fairly festive,joy
feeling pretty hateful towards refrigerator cleaned,anger
feel relieved time feel lost,joy
think feeling insulted good thing maybe felt insulted made clear someone attacks racial religious slur even though aimed personally made comment might learn something,anger
actually happy hear id feeling unnaturally exhausted lately hopefully help,sadness
ive noticed week im one struggles feeling little depressed mothers day,sadness
achieved deepening realization need plan ahead feel satisfied avoid making silly food choices,joy
started feeling bit strange,surprise
know feel today part convinced making much difficult actually mehow casually remarks april infield insider getting box never first place,joy
writing time also upset real parent almost constantly life theres brothers sisters around either child feels kinda lonely,sadness
feel like go run expend idiotic energy iv decided homework instead store energy social event im going evening,sadness
almost feel hated everyone,anger
want hold feeling shocked awe wonder forever,surprise
think feel entirely wonderful wife dating someone order go okay happen,joy
realize vision beginning feel passionate,love
feel bit shaken though,fear
couldnt entirely satisfied longed companion could feel entirely devoted,love
fuck coat really still feel like doesnt know rock swag looks little lame trying whatever though,sadness
feel creative mind brings diversity new thinking job,joy
know unfair reaction run ways explain feel shaken best come right,fear
wondered would feel bit lost got end programme time looking forward running music setting goals,sadness
felt jealous feel insecure,fear
im sure silly little blog ridiculous sometimes feel aggravated,anger
im feeling sally field like days surprised love always brown mop hair atop head,surprise
feel rediculous petty yet justified,anger
sleep last night however woke feeling splendid sniffles itchy throat wasnt sure could awake,joy
dont think true tried explain feelings replies submissive wouldnt question authority subject,sadness
like look ring im feeling doubtful reminds honestly dont regrets know im im suppose,fear
feel like cant handle deployment miserable,sadness
feel happy inspired little sis love reading writing,joy
feel energy feel joyful sweet enthusiasm life,joy
feel like maybe everything resolved get living life almost years,joy
feel really popular underground get thank god looking toby tunji,joy
dead since ive couple months feel pain every time go reach empty bottle cannot bear throw,sadness
tell feel punished,sadness
feel badly enough everything thats going people supposed helping arent particularly sympathetic,love
really like feel nostalgic watching decade remember lot hesei kamen riders,love
receiving end every one know firsthand make feel plenty people many strangers street convinced must know mom somewhere surely know,joy
feeling annoyed everything,anger
started feel melancholy uncertain really missing son,sadness
also feeling really pleased decided well cajoled bullied ordered go running evening,joy
even remember trying last year feeling crappy nowhere near closing,sadness
never thought would feel passionate anything began teaching,joy
ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy
feel less assured basic rights protected political system especially woman every time im disappointed feel personal responsibility produce change,joy
wish would feel blessed time remember reason wears time need reminder year,love
feel fucked,anger
im inclined believe im simply lazy feel particularly greedy,anger
know feel useless nasty feeling,sadness
run always run controlled pretty well dinner even feel guilty,sadness
dont know feel apprehensive apathetic,fear
always get feeling im actually dampening friends moods theyre carefree happy life dont show enthusiasm,joy
like idea wearing things comfortable make feel cute,joy
stood inside chabad sukkah watching sunlight filter woven schach roof feeling gentle breeze coming open lattice walls began relax,love
feel particularly elegant though,joy
always feel jealous,anger
feeling reassured wave missing hits,joy
feel names also reflect person dignified comes together dudley dursley cornelius fudge minerva mcgonnagall neville longbottom peter pettigrew oliver wood,joy
emotionally engaged feel supporting beliefs values support,joy
however feel amused also called famous last words cathartic think one people secretly likes mychem admit fear damaging music cred,joy
would feel excited waiting mailman come house handing letters,joy
ive feeling mellow evening,joy
im feeling energetic less tired im two pounds,joy
ask dump millions dollars party rightfully earned perhaps consider leader free world feeling crunch well,joy
feel like im really settling life like im finally back spain ive missed years,sadness
would also feel threatened ease private information could permeate system,fear
feel groggy ok get leave house luxurious baby free day office ahead,sadness
feel glad teaching nursery children special needs know study art better helped use art curriculum make lessons enjoyable interesting pupils,joy
know awful game see results feel crappy overall,sadness
feel dirty rel bookmark feel dirty feel gross poaching vicarious threads agtalk resist,sadness
agreed let us past happy part life feel honoured,joy
ive feeling completely stupid whole thing,sadness
feel like dream good guitarist playing musicians prideful dream,joy
im getting ready feeling stressed general take toll milk supply im producing much,sadness
im thankful music makes laugh music makes feel strong music makes believe,joy
hope keep handing books mormon feel impressed give,surprise
often find hostile environment leaves feel damaged blossoms die vine,sadness
feel selfish self indulgent,anger
feeling really lousy take diy therapy chart look emotion experiencing,sadness
feel presence beloved behind tilt neck side smiling feel lips shoulder,love
know feel repressed prisoner guidelines lds church,sadness
admit feel shaken,fear
feel lame pretty much using phone take pictures like always,sadness
tell exactly wrong moment second grieve son miss son feel though punished living hell times,sadness
feel fairly calm,joy
feel horrible winter,sadness
start feel benefit extremely boring,sadness
feel angered though,anger
feel bitchy something like family theyre going shit,anger
feel pretty awful,sadness
normally like lettuce tomatoes burger moisture absence burger made meat feel particularly rich juicy,joy
feel really free feel grow wings amp fly,joy
think many years spent feeling furious dramatic perspective world extremely sensitive nature,anger
actually feel embarrassed,sadness
feel homesick near end last week thailand,sadness
started feel dull cramps lasted two hours thought maybe babies didnt like mexican cray cray favorite,sadness
decided try zipline picnic grove since feeling bit adventurous day,joy
know feeling glad,joy
believe teenage girls feel like influenced popular crowd want fit,joy
im sure feel theres empty space left,sadness
feeling divine intervention work,joy
wear feel super safe calm,joy
feel unimportant right like worth time people waste tried happy seem like something wrong come back realization something wrong feel like worthless,sadness
feel like way much products blog lately miss amazing home,joy
feel safe happy house clean,joy
care little impressing people unless person feel deserves impressed,surprise
days weeks feel little deprived,sadness
also feel helped become intelligent individual,joy
get feeling telling peter many people surprised,surprise
feel somewhat hopeful things,joy
drawn totally solid neutral bags black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessories,anger
could tell pain feel heart abused torture duration life,sadness
feel insecure around people marvel people humble,fear
went bed woke without fever horrible headache sore throat still ears feeling plugged aching,sadness
feel complacent life,joy
truly feel portrayal jesus movie gratuitously violent,anger
make punjabi lobia masala mostly winters feel protein punch spice rich recipe winter warmer one,joy
feel mad feel angry feel callous lost confused feel cheap used unfaithful let start let start let start,anger
received wt txl sage bought feel terrific price one esteemed members ultralight fly fishing forum,joy
always feel rushed way visit comments,anger
could put full thought together didnt feel lethargic,sadness
involved zenos story casually mentioned would make good novel really feel passionate idea,joy
yoga open feel tender two hours later nicely swaddled happily wrapping layer upon layer well meaning habit,love
feel proud ability simply comprehend painstakingly discovered rigorous experiments ingenious theories,joy
feel really bouncy absolutely reason head hurts bit trying remember books im going simply read,joy
always think violent band violently feeling violent lyrics musically violent,anger
feeling pissed,anger
tired sore didnt really feel like makin mile trip church ecstatic enjoyed every minute,joy
see liberal women get challenged something says comments feeling safe called intimidation feeling,joy
tell pms work feel weepy,sadness
im feeling selfish enough start lovely scarf,anger
also love one able send good home without feeling like giving away vital organ,joy
guess would feel like joseph walt trusting care mother finances six months died times want defend self god makes quiet,joy
woke feeling shaky nauseous lots cramping pressure abdomen pelvis,fear
feel profoundly insulted anime dumb think,anger
made choice start recognizing feeling unloved kicks choose keep persistence level allowing old reaction shut,sadness
ive rather average career decided work less earn less rolex anywhere seen managed write even publish short story collections novels mind drafts today feel successful,joy
feel connection two convinced made love stage yet,joy
feel really pretty makeup haha,joy
weird feeling nothing innocent script type text javascript src http partner,joy
feeling handsome q lyrics oh look like darling expect,joy
felt coming anything p docs fault mentioned feeling irritable last appointment anything,anger
feel hot bothered worry worry boy worry,love
really feel deprived,sadness
feel ashamed let come far,sadness
wasnt feeling got board really pleasant,joy
im feeling little grumpy today lame weather tease got weekend,anger
got feeling halfway convinced,joy
feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting,joy
feel amused kind tired still morning,joy
im living alone waiting license test english speaking test im feeling relaxed hibernating without fresh air,joy
miss time husband feeling rushed get back home relieve caregiver,anger
bus stop hear squeak baachan trolley feel little paranoid,fear
tossing turning feeling anxious fact work felt needed done,fear
writing remember feeling assured wasnt dead checking window mom started fighting,joy
felt fine got short started feeling really funny,surprise
also able get appointment osteopath freaking awesome feels like caring boulder stomach,love
feeling pretty low joan saw disappointment lifted spirit corinthians,sadness
feeling bit miserable passionate something moment,sadness
hope something magical happens today im feeling kind listless,sadness
feel pressured dumb feeling,fear
know end reception feeling little left chris asked dance thrilled accept,joy
bet almost us though life ever kind feeling called jealous,anger
find plan something feel landscape aftermath vital genre appeal,joy
use ugh long week lets make feel pretty mask ive honestly loving effects,love
didnt feel much thankful,joy
feel everything intensely emotional physical distress daily part living disability,sadness
feel violent natures generic,anger
feel unwelcome,sadness
choose importantly someone vent explain im feeling moment whether bummed ecstatic anything,joy
almost always feel fantastic exercise recommend every day,joy
care feel unimportant shit together enough dont need anymore,sadness
feel numb right thought feeling angry dont know dont feel anything sad happy angry dont know feel anymore,sadness
staying relatives house broken,fear
feel cant disturbed lift upon hold anymore seems dont know vital,sadness
feel like universe thinks handle giving suffering,sadness
feel like sweet fix go snack,love
feel like thing happened dad stubbornly loyal let dump like rotten piece food,love
feeling devastated inner voice within thats name speaks,sadness
love reading feel positively rich house full new books learning new things pain relentless really pace spend days pottering job job depending stupid feel like,joy
feel like product supporting immune cardiovascular systems,love
understand feeling devastated sympathize,sadness
scared wasnt even funny made feel pathetic stupid,sadness
feeling hopeful looking forward,joy
get drill subjects soul icy stare feels disturbed leaves,sadness
feel agitated annoyed see feel darkness everywhere,fear
get little twitchy feel like someone depending flawless job done end,joy
feel like need something change vicious cycle good letting cravings drive madness binging,anger
think freedom make plans another person time feel content,joy
find feeling sentimental pretty much every day,sadness
lingering feelings longing anyone,love
feel cranky annoyed dont,anger
feel guilty nothing special thanksgiving,sadness
im actually feeling little smug,joy
tried naked gardening feels lovely sun back feel plants working borders,love
feel well,joy
feeling impatient would like get life hurry push right back illness,anger
think worse feel shoes would devastated least far concerned sort blue,sadness
capable late ive feeling pretty bitter depressed lot gratitude general,anger
love comments feel free post one,joy
think valid complaint arent willing deal aspect imagine rather subjective makes sure cover based moments still feel dangerous despite cover,anger
im feeling rather bothered physical mental clock still october,anger
feel ecstatic youre mr mrs lightning rod,joy
feel obligation make sure understand exactly believe coming,joy
bursting feel inside delicious woman cunt,joy
feel breeds loneliness discontent onto economy recession stressful money unemployment people wanted know caused recession topic came divorce,sadness
feel kinda worthless unwanted times cuz ive always felt im ugliest among friends cuz freaking pretty oh dayummm like forever feeling inferior stuff la,sadness
devestated would grave disservice feelings never recall quite heartbroken life,sadness
im professor looks like spitball friend dying cry pillow night feel dangerous tickles jealousy luring lair,anger
feeling quite disheartened,sadness
feeling strong dodging international distance runners,joy
want feel amazed little often,surprise
feel disgusted ashamed,anger
feel horrible today,sadness
often fought feelings hopelessness seemingly helpless financial situation,fear
love feeling feel despite rain despite gloomy sky feeling good im feeling fine,sadness
pregnant emily therefore always feeling exhausted hard sleep walter slept needed extra rest,sadness
walking around feeling quite tortured spent many hours still finished learned things,anger
